replies_count,retweets_count,likes_count,n_hashtag,tweet_count,volume,high_low_subs,open,label
1.0,1.0,0.0,20,1,60.28319543,0.16999999999999815,28.18,1
7.0,5.0,14.0,7,7,92.98349655,0.370000000000001,28.29,1
5.0,22.0,19.0,24,5,106.38683999999999,0.75,28.24,1
2.0,15.0,44.0,26,4,411.30355099999997,0.75,28.99,1
12.0,9.0,96.0,7,7,966.311765,0.9000000000000021,29.55,1
15.0,4.0,21.0,4,4,164.573205,0.16000000000000014,30.16,1
2.0,0.0,2.0,1,1,428.106467,0.28000000000000114,30.16,1
2.0,8.0,42.0,3,3,102.47895,0.16000000000000014,29.96,1
2.0,1.0,26.0,3,3,168.865016,0.22999999999999687,29.85,1
1.0,0.0,4.0,1,1,13.938532999999998,0.19000000000000128,29.85,1
5.0,6.0,53.0,7,6,200.896742,0.28000000000000114,29.82,1
5.0,7.0,106.0,23,6,257.3668472,0.5199999999999996,30.1,1
3.0,4.0,13.0,22,2,965.4228949999999,0.9100000000000001,30.56,1
7.0,3.0,26.0,4,3,3.2962910000000005,0.5200000000000031,30.92,1
2.0,1.0,23.0,3,3,95.0146,0.4299999999999997,30.48,1
1.0,1.0,3.0,1,1,154.165683,0.5300000000000011,30.82,1
9.0,17.0,51.0,2,2,130.158102,0.16999999999999815,30.33,1
1.0,3.0,13.0,10,2,48.036596,0.129999999999999,30.35,1
0.0,0.0,0.0,0,0,66.311142,0.40000000000000213,30.48,1
6.0,12.0,105.0,3,3,135.52313700000002,0.129999999999999,30.61,1
0.0,0.0,0.0,0,0,0.064998,0.03999999999999915,30.57,1
3.0,0.0,21.0,3,3,31.828756,0.019999999999999574,30.61,1
22.0,19.0,165.0,12,12,46.68708898,0.4200000000000017,30.63,1
27.0,24.0,166.0,13,12,43.201695,0.7800000000000011,31.05,0
3.0,2.0,73.0,6,4,242.295723,0.4800000000000004,31.7,0
12.0,5.0,47.0,17,8,559.636447,0.6700000000000017,31.63,0
2.0,3.0,4.0,17,2,19.631793,0.120000000000001,31.33,1
1.0,4.0,8.0,4,2,163.028503,0.14000000000000057,31.37,1
5.0,0.0,9.0,3,3,756.978329,0.5199999999999996,31.3,1
25.0,17.0,106.0,14,13,0.06464099999999999,0.060000000000002274,30.85,1
15.0,7.0,47.0,4,4,12.6948054,0.17999999999999972,30.79,1
8.0,8.0,26.0,22,5,22.64256978,0.28999999999999915,30.7,1
2.0,0.0,4.0,2,2,22.064703,0.3099999999999987,30.53,1
24.0,44.0,226.0,7,4,371.66650610000005,0.6900000000000013,30.84,1
1.0,0.0,5.0,1,1,234.562582,0.17999999999999972,31.53,1
3.0,3.0,19.0,3,3,197.343119,0.22000000000000242,31.52,1
2.0,9.0,34.0,31,3,96.93092212,0.23999999999999844,31.47,1
1.0,15.0,36.0,10,2,270.471241,0.7299999999999969,31.54,1
3.0,5.0,36.0,25,5,36.26378337,0.15000000000000568,32.05,1
3.0,10.0,20.0,4,2,127.35208700000001,0.37000000000000455,32.16,0
4.0,1.0,23.0,5,4,118.587973,0.14000000000000057,32.53,0
9.0,7.0,41.0,4,4,253.959066,0.5900000000000034,32.54,0
7.0,3.0,29.0,10,6,172.466006,0.9099999999999966,33.12,0
8.0,4.0,9.0,5,5,3.95961,0.240000000000002,32.21,0
5.0,9.0,45.0,4,4,569.4213639999999,1.0000000000000036,32.45,0
58.0,80.0,344.0,15,14,168.575728,0.3099999999999987,31.74,1
35.0,21.0,115.0,33,16,407.85780869999996,0.389999999999997,31.99,0
1.0,2.0,26.0,4,2,43.010432,0.21999999999999886,31.7,0
43.0,62.0,283.0,31,6,206.252708,0.4499999999999993,31.81,0
13.0,10.0,46.0,14,7,0.209244,0.19000000000000128,32.17,0
21.0,60.0,194.0,19,9,8.39246172,0.0899999999999963,31.99,0
31.0,35.0,130.0,15,14,157.54385200000002,0.4000000000000057,32.05,0
9.0,6.0,20.0,25,6,581.2850950000001,0.21999999999999886,32.45,0
2.0,10.0,33.0,3,3,759.6381345,0.46000000000000085,32.37,0
64.0,11.0,80.0,5,5,135.416504,0.490000000000002,32.7,0
0.0,4.0,6.0,19,1,969.7652320000001,0.6899999999999977,32.88,0
0.0,2.0,6.0,1,1,930.1104715,0.3300000000000054,32.6,0
1.0,6.0,27.0,2,2,57.757228000000005,0.10999999999999943,32.44,0
0.0,0.0,0.0,0,0,476.389072,0.3999999999999986,32.53,0
8.0,1.0,15.0,4,4,29.720964000000002,0.5300000000000011,32.13,0
0.0,0.0,0.0,0,0,2.7606349999999997,0.370000000000001,31.6,0
5.0,0.0,5.0,4,4,90.90801835,0.1700000000000017,31.89,0
2.0,0.0,2.0,2,2,396.20453849999996,0.33000000000000185,31.84,0
5.0,2.0,16.0,6,6,0.312539,0.1999999999999993,31.78,0
3.0,0.0,3.0,2,2,163.77454699999998,0.28000000000000114,31.98,0
4.0,0.0,3.0,1,1,80.186716,0.259999999999998,31.78,0
3.0,0.0,2.0,13,2,91.9998,0.10999999999999943,32.04,0
13.0,116.0,62.0,28,4,189.11423,0.23000000000000043,32.1,0
1.0,0.0,3.0,1,1,544.7376587,0.5499999999999972,31.99,0
3.0,0.0,11.0,3,3,217.28739900000002,0.370000000000001,31.51,1
3.0,10.0,50.0,2,2,422.21698,0.5800000000000018,31.37,1
1.0,0.0,1.0,1,1,844.2632017999999,1.0599999999999987,30.86,1
7.0,6.0,32.0,7,7,751.5587796,0.41000000000000014,31.67,0
15.0,31.0,95.0,10,9,275.119356,0.21000000000000085,31.63,0
